Humidity;Pressure;Temperature
0,006992883;1018,41577;8,39345741
0,006735656;1019,81128;8,62035561
0,006697277;1021,31366;9,36129189
0,006370306;1022,71802;10,4359684
0,00611655;1023,69019;11,2335148
0,005858063;1024,56128;11,6422977
0,005528245;1025,07788;11,7620487
0,005323324;1025,3197;11,5939579
0,005356287;1025,78662;11,1185551
0,005332942;1026,62427;9,62301064
0,004891019;1027,53455;8,70961952
0,004551072;1028,34143;8,16127968
0,00443733;1028,77649;7,91072989
0,004486347;1029,18677;8,69948769
0,004812452;1029,71924;10,4452152
0,005062942;1030,04248;12,0078373
0,005404805;1030,0769;13,0744877
0,005446461;1029,82739;13,4513187
0,005413599;1029,74915;13,0584354
0,005315276;1029,54199;12,7859745
0,005265792;1029,29272;12,6494694
0,00523875;1029,52881;11,1193485
0,005276624;1030,13647;10,0968876
0,00523164;1030,67053;9,87737465
0,005252814;1030,94922;9,5062809
0,005599781;1031,11035;10,03158
0,006429587;1031,77173;11,2958317
0,006857252;1032,35864;12,3835697
0,006617371;1032,54492;12,9038639
0,006245743;1032,12988;13,1508427
0,006242725;1031,45972;13,177393
0,00638907;1030,63794;13,0255985
0,00670439;1029,94312;12,6142826
0,006772501;1029,70142;11,5209904
0,006527526;1029,64685;10,969965
0,006425561;1029,33447;11,0281925
0,00652958;1028,89197;10,9576664
0,006767544;1028,27893;11,3443851
0,007137741;1027,83398;12,2808781
0,007400871;1027,68713;13,3699589
0,007592233;1027,57422;14,1015873
0,007511854;1027,12537;14,6225834
0,007507761;1026,28503;14,8734989
0,007525987;1025,38342;14,7070255
0,007620513;1024,67236;14,3889713
0,007378715;1024,20154;12,8447514
0,007249671;1024,13647;11,8660221
0,007158886;1023,94098;11,6564274
0,007406776;1023,48218;11,4364872
0,007890491;1022,85059;11,9273014
0,008446321;1022,27026;13,140955
0,008451827;1022,0108;14,4530582
0,008030679;1021,73877;15,3420353
0,007485009;1021,00842;15,668726
0,007355083;1020,14294;15,6531315
0,007327493;1019,4895;15,4418888
0,007349873;1019,18042;14,8175907
0,00744332;1019,29077;13,4128056
0,007884553;1019,37195;12,8279667
0,008652591;1019,22394;12,5508976
0,00913271;1018,72028;12,3365421
0,009433584;1018,27246;12,8832035
0,009564586;1018,13184;13,966608
0,009508339;1018,11963;15,2372684
0,008861516;1017,89514;16,1733952
0,007833315;1017,55408;16,7567387
0,007521261;1017,25049;16,7179813
0,007575131;1017,08624;16,6406498
0,007975154;1016,79895;15,8898563
0,008651121;1016,84668;14,606226
0,009711449;1017,17395;14,085413
0,010083986;1017,30933;13,7233219
0,009941382;1017,28662;13,421381
0,009833506;1017,11731;13,7664433
0,009859729;1017,21539;14,8474979
0,009916779;1017,49768;16,2155704
0,009305229;1017,60938;17,1491642
0,008659139;1017,33887;17,4753666
0,008386564;1016,88062;17,2967167
0,008365277;1016,55774;17,1881046
0,00842014;1016,44623;16,7848759
0,008795336;1016,71759;15,2849369
0,009331036;1016,99219;14,418848
0,009639196;1017,03357;14,0977421
0,009903612;1016,97583;14,0019169
0,010111718;1017,00208;14,3951054
0,010300774;1017,29236;15,0616703
0,010075278;1017,70929;15,8830814
0,009721792;1017,97412;16,3041935
0,009237284;1017,78943;16,4728031
0,008856489;1017,46808;16,5990238
0,008578639;1017,23859;16,406641
0,008534521;1017,20404;15,9486027
0,008522455;1017,24182;14,8609867
0,008378902;1017,36273;13,8994389
0,008296792;1017,24341;13,4977055
0,008460948;1017,01093;13,2366581
0,008789768;1016,86517;13,9976444
0,009090399;1016,99548;15,1390018
0,008900199;1017,0603;16,425684
0,007943816;1016,98407;17,1656132
0,007330472;1016,81781;17,3532658
0,006998207;1016,5509;17,309351
0,006871889;1016,25641;16,9399662
0,006947079;1015,97571;16,7470646
0,006757841;1015,97864;15,4484806
0,006650965;1016,05219;14,3949223
0,006583907;1016,0011;14,0653324
0,006664162;1015,99719;13,7805729
0,006879287;1016,02454;14,6859989
0,007233038;1016,14746;16,5620975
0,007397781;1016,35815;17,5757999
0,006760148;1016,49817;17,9930058
0,006415972;1016,32019;18,4286442
0,006225329;1016,09796;18,5344181
0,006169797;1015,83557;18,2475834
0,006357504;1015,51093;18,543848
0,00618915;1015,25671;16,5047245
0,006747631;1015,45685;15,2668705
0,007424103;1015,54468;14,8573856
0,008101495;1015,35321;14,5570927
0,008671195;1015,34125;15,4780827
0,009190103;1015,51367;16,9010563
0,009388438;1015,68127;17,9214115
0,008832097;1015,37622;18,4406071
0,008270156;1014,69104;18,7077885
0,007787342;1014,15631;18,7635441
0,007496109;1013,35626;18,514246
0,00769267;1012,5365;17,9319096
0,007874908;1011,64819;16,5856876
0,00779953;1010,65393;15,6862431
0,008090921;1009,73749;15,3899784
0,008514059;1008,43018;15,1970463
0,009025028;1007,04773;15,9760075
0,009482748;1005,79443;16,4474125
0,009540705;1004,79437;16,7001591
0,009603421;1003,6615;16,9111881
0,009701664;1002,40411;17,0627079
0,009660172;1001,1272;17,0296268
0,010048037;1000,00671;16,6335697
0,010484749;999,143799;16,1871586
0,010642694;998,856079;15,7991581
